anchor,anchor_raw_ingred_name,anchor_matched_ingred_name,pos,pos_raw_ingred_name,pos_matched_ingred_name,neg,neg_raw_ingred_name
Easy chicken fajitas: Heat a griddle pan until smoking hot and add the chicken and marinade to the pan.,chicken breasts,Chicken:Breast,Easy chicken fajitas: Heat a griddle pan until smoking hot and add the turkey breast and marinade to the pan.,turkey breast,Turkey:Breast,Easy chicken fajitas: Heat a griddle pan until smoking hot and add the turmeric and marinade to the pan.,turmeric
Easy chicken fajitas: Heat a griddle pan until smoking hot and add the chicken and marinade to the pan.,chicken breasts,Chicken:Breast,Easy chicken fajitas: Heat a griddle pan until smoking hot and add the turkey breast and marinade to the pan.,turkey breast,Turkey:Breast,Easy chicken fajitas: Heat a griddle pan until smoking hot and add the parsley and marinade to the pan.,parsley
Easy chicken fajitas: Heat a griddle pan until smoking hot and add the chicken and marinade to the pan.,chicken breasts,Chicken:Breast,Easy chicken fajitas: Heat a griddle pan until smoking hot and add the turkey breast and marinade to the pan.,turkey breast,Turkey:Breast,Easy chicken fajitas: Heat a griddle pan until smoking hot and add the kippers and marinade to the pan.,kippers
Easy chicken fajitas: Heat a griddle pan until smoking hot and add the chicken and marinade to the pan.,chicken breasts,Chicken:Breast,Easy chicken fajitas: Heat a griddle pan until smoking hot and add the turkey breast and marinade to the pan.,turkey breast,Turkey:Breast,Easy chicken fajitas: Heat a griddle pan until smoking hot and add the saffron and marinade to the pan.,saffron
Easy chicken fajitas: Heat a griddle pan until smoking hot and add the chicken and marinade to the pan.,chicken breasts,Chicken:Breast,Easy chicken fajitas: Heat a griddle pan until smoking hot and add the turkey breast and marinade to the pan.,turkey breast,Turkey:Breast,Easy chicken fajitas: Heat a griddle pan until smoking hot and add the catfish and marinade to the pan.,catfish
Easy chicken fajitas: Heat a griddle pan until smoking hot and add the chicken and marinade to the pan.,chicken breasts,Chicken:Breast,Easy chicken fajitas: Heat a griddle pan until smoking hot and add the turkey breast and marinade to the pan.,turkey breast,Turkey:Breast,Easy chicken fajitas: Heat a griddle pan until smoking hot and add the boal and marinade to the pan.,boal
Easy chicken fajitas: Heat a griddle pan until smoking hot and add the chicken and marinade to the pan.,chicken breasts,Chicken:Breast,Easy chicken fajitas: Heat a griddle pan until smoking hot and add the turkey breast and marinade to the pan.,turkey breast,Turkey:Breast,Easy chicken fajitas: Heat a griddle pan until smoking hot and add the rambutan and marinade to the pan.,rambutan
Easy chicken fajitas: Heat a griddle pan until smoking hot and add the chicken and marinade to the pan.,chicken breasts,Chicken:Breast,Easy chicken fajitas: Heat a griddle pan until smoking hot and add the turkey breast and marinade to the pan.,turkey breast,Turkey:Breast,Easy chicken fajitas: Heat a griddle pan until smoking hot and add the fenugreek seeds and marinade to the pan.,fenugreek seeds
"Brown stew chicken: Heat the oil in a large frying pan over a medium heat, add the chicken mixture and cook the vegetables and chicken for about 5 minutes on each side, or until the chicken is brown.",chicken thighs,Chicken:Thigh,"Brown stew chicken: Heat the oil in a large frying pan over a medium heat, add the diced beef mixture and cook the vegetables and diced beef for about 5 minutes on each side, or until the diced beef is brown.",Diced Beef,Beef:Diced,"Brown stew chicken: Heat the oil in a large frying pan over a medium heat, add the tomato ketchup mixture and cook the vegetables and tomato ketchup for about 5 minutes on each side, or until the tomato ketchup is brown.",tomato ketchup
"Brown stew chicken: Heat the oil in a large frying pan over a medium heat, add the chicken mixture and cook the vegetables and chicken for about 5 minutes on each side, or until the chicken is brown.",chicken thighs,Chicken:Thigh,"Brown stew chicken: Heat the oil in a large frying pan over a medium heat, add the diced beef mixture and cook the vegetables and diced beef for about 5 minutes on each side, or until the diced beef is brown.",Diced Beef,Beef:Diced,"Brown stew chicken: Heat the oil in a large frying pan over a medium heat, add the basil mixture and cook the vegetables and basil for about 5 minutes on each side, or until the basil is brown.",basil
"Brown stew chicken: Heat the oil in a large frying pan over a medium heat, add the chicken mixture and cook the vegetables and chicken for about 5 minutes on each side, or until the chicken is brown.",chicken thighs,Chicken:Thigh,"Brown stew chicken: Heat the oil in a large frying pan over a medium heat, add the diced beef mixture and cook the vegetables and diced beef for about 5 minutes on each side, or until the diced beef is brown.",Diced Beef,Beef:Diced,"Brown stew chicken: Heat the oil in a large frying pan over a medium heat, add the cockles mixture and cook the vegetables and cockles for about 5 minutes on each side, or until the cockles is brown.",cockles
"Brown stew chicken: Heat the oil in a large frying pan over a medium heat, add the chicken mixture and cook the vegetables and chicken for about 5 minutes on each side, or until the chicken is brown.",chicken thighs,Chicken:Thigh,"Brown stew chicken: Heat the oil in a large frying pan over a medium heat, add the diced beef mixture and cook the vegetables and diced beef for about 5 minutes on each side, or until the diced beef is brown.",Diced Beef,Beef:Diced,"Brown stew chicken: Heat the oil in a large frying pan over a medium heat, add the truffle oil mixture and cook the vegetables and truffle oil for about 5 minutes on each side, or until the truffle oil is brown.",truffle oil
"Brown stew chicken: Heat the oil in a large frying pan over a medium heat, add the chicken mixture and cook the vegetables and chicken for about 5 minutes on each side, or until the chicken is brown.",chicken thighs,Chicken:Thigh,"Brown stew chicken: Heat the oil in a large frying pan over a medium heat, add the diced beef mixture and cook the vegetables and diced beef for about 5 minutes on each side, or until the diced beef is brown.",Diced Beef,Beef:Diced,"Brown stew chicken: Heat the oil in a large frying pan over a medium heat, add the allspice mixture and cook the vegetables and allspice for about 5 minutes on each side, or until the allspice is brown.",allspice
"Brown stew chicken: Heat the oil in a large frying pan over a medium heat, add the chicken mixture and cook the vegetables and chicken for about 5 minutes on each side, or until the chicken is brown.",chicken thighs,Chicken:Thigh,"Brown stew chicken: Heat the oil in a large frying pan over a medium heat, add the diced beef mixture and cook the vegetables and diced beef for about 5 minutes on each side, or until the diced beef is brown.",Diced Beef,Beef:Diced,"Brown stew chicken: Heat the oil in a large frying pan over a medium heat, add the kabana mixture and cook the vegetables and kabana for about 5 minutes on each side, or until the kabana is brown.",kabana
"Brown stew chicken: Heat the oil in a large frying pan over a medium heat, add the chicken mixture and cook the vegetables and chicken for about 5 minutes on each side, or until the chicken is brown.",chicken thighs,Chicken:Thigh,"Brown stew chicken: Heat the oil in a large frying pan over a medium heat, add the diced beef mixture and cook the vegetables and diced beef for about 5 minutes on each side, or until the diced beef is brown.",Diced Beef,Beef:Diced,"Brown stew chicken: Heat the oil in a large frying pan over a medium heat, add the rye flour mixture and cook the vegetables and rye flour for about 5 minutes on each side, or until the rye flour is brown.",rye flour
"Brown stew chicken: Heat the oil in a large frying pan over a medium heat, add the chicken mixture and cook the vegetables and chicken for about 5 minutes on each side, or until the chicken is brown.",chicken thighs,Chicken:Thigh,"Brown stew chicken: Heat the oil in a large frying pan over a medium heat, add the diced beef mixture and cook the vegetables and diced beef for about 5 minutes on each side, or until the diced beef is brown.",Diced Beef,Beef:Diced,"Brown stew chicken: Heat the oil in a large frying pan over a medium heat, add the curry sauce mixture and cook the vegetables and curry sauce for about 5 minutes on each side, or until the curry sauce is brown.",curry sauce
"Brown stew chicken: Heat the oil in a large frying pan over a medium heat, add the chicken mixture and cook the vegetables and chicken for about 5 minutes on each side, or until the chicken is brown.",chicken thighs,Chicken:Thigh,"Brown stew chicken: Heat the oil in a large frying pan over a medium heat, add the diced beef mixture and cook the vegetables and diced beef for about 5 minutes on each side, or until the diced beef is brown.",Diced Beef,Beef:Diced,"Brown stew chicken: Heat the oil in a large frying pan over a medium heat, add the parsley mixture and cook the vegetables and parsley for about 5 minutes on each side, or until the parsley is brown.",parsley
"Brown stew chicken: Heat the oil in a large frying pan over a medium heat, add the chicken mixture and cook the vegetables and chicken for about 5 minutes on each side, or until the chicken is brown.",chicken thighs,Chicken:Thigh,"Brown stew chicken: Heat the oil in a large frying pan over a medium heat, add the diced beef mixture and cook the vegetables and diced beef for about 5 minutes on each side, or until the diced beef is brown.",Diced Beef,Beef:Diced,"Brown stew chicken: Heat the oil in a large frying pan over a medium heat, add the acorn squash mixture and cook the vegetables and acorn squash for about 5 minutes on each side, or until the acorn squash is brown.",acorn squash
Mixed-veg pasta: Add the tomato base sauce to the veg pan and bring to the boil.,tomato base sauce,Tomato:Passata,Mixed-veg pasta: Add the  pesto to the veg pan and bring to the boil., pesto,Pesto,Mixed-veg pasta: Add the sourdough to the veg pan and bring to the boil.,sourdough
Mixed-veg pasta: Add the tomato base sauce to the veg pan and bring to the boil.,tomato base sauce,Tomato:Passata,Mixed-veg pasta: Add the  pesto to the veg pan and bring to the boil., pesto,Pesto,Mixed-veg pasta: Add the sharon fruit to the veg pan and bring to the boil.,sharon fruit
Mixed-veg pasta: Add the tomato base sauce to the veg pan and bring to the boil.,tomato base sauce,Tomato:Passata,Mixed-veg pasta: Add the  pesto to the veg pan and bring to the boil., pesto,Pesto,Mixed-veg pasta: Add the ricotta to the veg pan and bring to the boil.,ricotta
Mixed-veg pasta: Add the tomato base sauce to the veg pan and bring to the boil.,tomato base sauce,Tomato:Passata,Mixed-veg pasta: Add the  pesto to the veg pan and bring to the boil., pesto,Pesto,Mixed-veg pasta: Add the rocket to the veg pan and bring to the boil.,rocket
Mixed-veg pasta: Add the tomato base sauce to the veg pan and bring to the boil.,tomato base sauce,Tomato:Passata,Mixed-veg pasta: Add the  pesto to the veg pan and bring to the boil., pesto,Pesto,Mixed-veg pasta: Add the mint to the veg pan and bring to the boil.,mint
Mixed-veg pasta: Add the tomato base sauce to the veg pan and bring to the boil.,tomato base sauce,Tomato:Passata,Mixed-veg pasta: Add the  pesto to the veg pan and bring to the boil., pesto,Pesto,Mixed-veg pasta: Add the cumin to the veg pan and bring to the boil.,cumin
Mixed-veg pasta: Add the tomato base sauce to the veg pan and bring to the boil.,tomato base sauce,Tomato:Passata,Mixed-veg pasta: Add the  pesto to the veg pan and bring to the boil., pesto,Pesto,Mixed-veg pasta: Add the natural yogurt to the veg pan and bring to the boil.,natural yogurt
Mixed-veg pasta: Add the tomato base sauce to the veg pan and bring to the boil.,tomato base sauce,Tomato:Passata,Mixed-veg pasta: Add the  pesto to the veg pan and bring to the boil., pesto,Pesto,Mixed-veg pasta: Add the kabana to the veg pan and bring to the boil.,kabana
Mixed-veg pasta: Add the tomato base sauce to the veg pan and bring to the boil.,tomato base sauce,Tomato:Passata,Mixed-veg pasta: Add the  pesto to the veg pan and bring to the boil., pesto,Pesto,Mixed-veg pasta: Add the blueberries to the veg pan and bring to the boil.,blueberries
Mixed-veg pasta: Add the tomato base sauce to the veg pan and bring to the boil.,tomato base sauce,Tomato:Passata,Mixed-veg pasta: Add the  pesto to the veg pan and bring to the boil., pesto,Pesto,Mixed-veg pasta: Add the papaya to the veg pan and bring to the boil.,papaya
"Greek Salmon: Season with pepper and add feta, tossing to coat.",cubed feta,Feta,"Greek Salmon: Season with pepper and add parmesan cheese, tossing to coat.",parmesan cheese,Parmesan,"Greek Salmon: Season with pepper and add laverbread, tossing to coat.",laverbread
"Greek Salmon: Season with pepper and add feta, tossing to coat.",cubed feta,Feta,"Greek Salmon: Season with pepper and add parmesan cheese, tossing to coat.",parmesan cheese,Parmesan,"Greek Salmon: Season with pepper and add emmental, tossing to coat.",emmental
"Greek Salmon: Season with pepper and add feta, tossing to coat.",cubed feta,Feta,"Greek Salmon: Season with pepper and add parmesan cheese, tossing to coat.",parmesan cheese,Parmesan,"Greek Salmon: Season with pepper and add turmeric, tossing to coat.",turmeric
"Greek Salmon: Season with pepper and add feta, tossing to coat.",cubed feta,Feta,"Greek Salmon: Season with pepper and add parmesan cheese, tossing to coat.",parmesan cheese,Parmesan,"Greek Salmon: Season with pepper and add swede, tossing to coat.",swede
"Greek Salmon: Season with pepper and add feta, tossing to coat.",cubed feta,Feta,"Greek Salmon: Season with pepper and add parmesan cheese, tossing to coat.",parmesan cheese,Parmesan,"Greek Salmon: Season with pepper and add gouda, tossing to coat.",gouda
"Greek Salmon: Season with pepper and add feta, tossing to coat.",cubed feta,Feta,"Greek Salmon: Season with pepper and add parmesan cheese, tossing to coat.",parmesan cheese,Parmesan,"Greek Salmon: Season with pepper and add red leicester, tossing to coat.",red leicester
"Greek Salmon: Season with pepper and add feta, tossing to coat.",cubed feta,Feta,"Greek Salmon: Season with pepper and add parmesan cheese, tossing to coat.",parmesan cheese,Parmesan,"Greek Salmon: Season with pepper and add cornmeal, tossing to coat.",cornmeal
"Greek Salmon: Season with pepper and add feta, tossing to coat.",cubed feta,Feta,"Greek Salmon: Season with pepper and add parmesan cheese, tossing to coat.",parmesan cheese,Parmesan,"Greek Salmon: Season with pepper and add five-spice, tossing to coat.",five-spice
"Greek Salmon: Season with pepper and add feta, tossing to coat.",cubed feta,Feta,"Greek Salmon: Season with pepper and add parmesan cheese, tossing to coat.",parmesan cheese,Parmesan,"Greek Salmon: Season with pepper and add leek, tossing to coat.",leek
"Greek Salmon: Season with pepper and add feta, tossing to coat.",cubed feta,Feta,"Greek Salmon: Season with pepper and add parmesan cheese, tossing to coat.",parmesan cheese,Parmesan,"Greek Salmon: Season with pepper and add goose, tossing to coat.",goose
"Halloumi & quinoa fattoush: Tip onto a serving plate and top with the halloumi, pitta and remaining herbs.",halloumi,Halloumi,"Halloumi & quinoa fattoush: Tip onto a serving plate and top with the feta cheese, pitta and remaining herbs.",feta cheese,Feta,"Halloumi & quinoa fattoush: Tip onto a serving plate and top with the salsa, pitta and remaining herbs.",salsa
"Halloumi & quinoa fattoush: Tip onto a serving plate and top with the halloumi, pitta and remaining herbs.",halloumi,Halloumi,"Halloumi & quinoa fattoush: Tip onto a serving plate and top with the feta cheese, pitta and remaining herbs.",feta cheese,Feta,"Halloumi & quinoa fattoush: Tip onto a serving plate and top with the brown sauce, pitta and remaining herbs.",brown sauce
"Halloumi & quinoa fattoush: Tip onto a serving plate and top with the halloumi, pitta and remaining herbs.",halloumi,Halloumi,"Halloumi & quinoa fattoush: Tip onto a serving plate and top with the feta cheese, pitta and remaining herbs.",feta cheese,Feta,"Halloumi & quinoa fattoush: Tip onto a serving plate and top with the naan bread, pitta and remaining herbs.",naan bread
"Halloumi & quinoa fattoush: Tip onto a serving plate and top with the halloumi, pitta and remaining herbs.",halloumi,Halloumi,"Halloumi & quinoa fattoush: Tip onto a serving plate and top with the feta cheese, pitta and remaining herbs.",feta cheese,Feta,"Halloumi & quinoa fattoush: Tip onto a serving plate and top with the couscous, pitta and remaining herbs.",couscous
"Halloumi & quinoa fattoush: Tip onto a serving plate and top with the halloumi, pitta and remaining herbs.",halloumi,Halloumi,"Halloumi & quinoa fattoush: Tip onto a serving plate and top with the feta cheese, pitta and remaining herbs.",feta cheese,Feta,"Halloumi & quinoa fattoush: Tip onto a serving plate and top with the grana padano, pitta and remaining herbs.",grana padano
"Halloumi & quinoa fattoush: Tip onto a serving plate and top with the halloumi, pitta and remaining herbs.",halloumi,Halloumi,"Halloumi & quinoa fattoush: Tip onto a serving plate and top with the feta cheese, pitta and remaining herbs.",feta cheese,Feta,"Halloumi & quinoa fattoush: Tip onto a serving plate and top with the sword bean, pitta and remaining herbs.",sword bean
"Halloumi & quinoa fattoush: Tip onto a serving plate and top with the halloumi, pitta and remaining herbs.",halloumi,Halloumi,"Halloumi & quinoa fattoush: Tip onto a serving plate and top with the feta cheese, pitta and remaining herbs.",feta cheese,Feta,"Halloumi & quinoa fattoush: Tip onto a serving plate and top with the salad, pitta and remaining herbs.",salad
"Halloumi & quinoa fattoush: Tip onto a serving plate and top with the halloumi, pitta and remaining herbs.",halloumi,Halloumi,"Halloumi & quinoa fattoush: Tip onto a serving plate and top with the feta cheese, pitta and remaining herbs.",feta cheese,Feta,"Halloumi & quinoa fattoush: Tip onto a serving plate and top with the raddiccio, pitta and remaining herbs.",raddiccio
"Halloumi & quinoa fattoush: Tip onto a serving plate and top with the halloumi, pitta and remaining herbs.",halloumi,Halloumi,"Halloumi & quinoa fattoush: Tip onto a serving plate and top with the feta cheese, pitta and remaining herbs.",feta cheese,Feta,"Halloumi & quinoa fattoush: Tip onto a serving plate and top with the feta, pitta and remaining herbs.",feta
"Halloumi & quinoa fattoush: Tip onto a serving plate and top with the halloumi, pitta and remaining herbs.",halloumi,Halloumi,"Halloumi & quinoa fattoush: Tip onto a serving plate and top with the feta cheese, pitta and remaining herbs.",feta cheese,Feta,"Halloumi & quinoa fattoush: Tip onto a serving plate and top with the swordfish, pitta and remaining herbs.",swordfish
Lentil Bolognese: Stir in lentils and water.,red lentils,Lentil,Lentil Bolognese: Stir in soya mince and water.,soya mince,Plant-based mince,Lentil Bolognese: Stir in tomato ketchup and water.,tomato ketchup
Lentil Bolognese: Stir in lentils and water.,red lentils,Lentil,Lentil Bolognese: Stir in soya mince and water.,soya mince,Plant-based mince,Lentil Bolognese: Stir in amaranth and water.,amaranth
Lentil Bolognese: Stir in lentils and water.,red lentils,Lentil,Lentil Bolognese: Stir in soya mince and water.,soya mince,Plant-based mince,Lentil Bolognese: Stir in urad gram and water.,urad gram
Lentil Bolognese: Stir in lentils and water.,red lentils,Lentil,Lentil Bolognese: Stir in soya mince and water.,soya mince,Plant-based mince,Lentil Bolognese: Stir in longan and water.,longan
Lentil Bolognese: Stir in lentils and water.,red lentils,Lentil,Lentil Bolognese: Stir in soya mince and water.,soya mince,Plant-based mince,Lentil Bolognese: Stir in sushi rice and water.,sushi rice
Lentil Bolognese: Stir in lentils and water.,red lentils,Lentil,Lentil Bolognese: Stir in soya mince and water.,soya mince,Plant-based mince,Lentil Bolognese: Stir in redfish and water.,redfish
Lentil Bolognese: Stir in lentils and water.,red lentils,Lentil,Lentil Bolognese: Stir in soya mince and water.,soya mince,Plant-based mince,Lentil Bolognese: Stir in fish stock and water.,fish stock
Lentil Bolognese: Stir in lentils and water.,red lentils,Lentil,Lentil Bolognese: Stir in soya mince and water.,soya mince,Plant-based mince,Lentil Bolognese: Stir in all purpose seasoning and water.,all purpose seasoning
Lentil Bolognese: Stir in lentils and water.,red lentils,Lentil,Lentil Bolognese: Stir in soya mince and water.,soya mince,Plant-based mince,Lentil Bolognese: Stir in anchovy and water.,anchovy
Lentil Bolognese: Stir in lentils and water.,red lentils,Lentil,Lentil Bolognese: Stir in soya mince and water.,soya mince,Plant-based mince,Lentil Bolognese: Stir in currant and water.,currant
"The Best Black Bean Burgers I've Ever Had: Place in a large bowl or in a food processor with the remaining ingredients (cumin, chili powder, garlic powder, smoked paprika, bread crumbs, cheese, eggs, worcestershire, ketchup, salt, and pepper).",feta cheese,Feta,"The Best Black Bean Burgers I've Ever Had: Place in a large bowl or in a food processor with the remaining ingredients (cumin, chili powder, garlic powder, smoked paprika, bread crumbs, marinated tofu, eggs, worcestershire, ketchup, salt, and pepper).",Marinated tofu,Tofu:Firm,"The Best Black Bean Burgers I've Ever Had: Place in a large bowl or in a food processor with the remaining ingredients (cumin, chili powder, garlic powder, smoked paprika, bread crumbs, plant-based ham, eggs, worcestershire, ketchup, salt, and pepper).",plant-based ham
"The Best Black Bean Burgers I've Ever Had: Place in a large bowl or in a food processor with the remaining ingredients (cumin, chili powder, garlic powder, smoked paprika, bread crumbs, cheese, eggs, worcestershire, ketchup, salt, and pepper).",feta cheese,Feta,"The Best Black Bean Burgers I've Ever Had: Place in a large bowl or in a food processor with the remaining ingredients (cumin, chili powder, garlic powder, smoked paprika, bread crumbs, marinated tofu, eggs, worcestershire, ketchup, salt, and pepper).",Marinated tofu,Tofu:Firm,"The Best Black Bean Burgers I've Ever Had: Place in a large bowl or in a food processor with the remaining ingredients (cumin, chili powder, garlic powder, smoked paprika, bread crumbs, mung bean, eggs, worcestershire, ketchup, salt, and pepper).",mung bean
"The Best Black Bean Burgers I've Ever Had: Place in a large bowl or in a food processor with the remaining ingredients (cumin, chili powder, garlic powder, smoked paprika, bread crumbs, cheese, eggs, worcestershire, ketchup, salt, and pepper).",feta cheese,Feta,"The Best Black Bean Burgers I've Ever Had: Place in a large bowl or in a food processor with the remaining ingredients (cumin, chili powder, garlic powder, smoked paprika, bread crumbs, marinated tofu, eggs, worcestershire, ketchup, salt, and pepper).",Marinated tofu,Tofu:Firm,"The Best Black Bean Burgers I've Ever Had: Place in a large bowl or in a food processor with the remaining ingredients (cumin, chili powder, garlic powder, smoked paprika, bread crumbs, club soda, eggs, worcestershire, ketchup, salt, and pepper).",club soda
"The Best Black Bean Burgers I've Ever Had: Place in a large bowl or in a food processor with the remaining ingredients (cumin, chili powder, garlic powder, smoked paprika, bread crumbs, cheese, eggs, worcestershire, ketchup, salt, and pepper).",feta cheese,Feta,"The Best Black Bean Burgers I've Ever Had: Place in a large bowl or in a food processor with the remaining ingredients (cumin, chili powder, garlic powder, smoked paprika, bread crumbs, marinated tofu, eggs, worcestershire, ketchup, salt, and pepper).",Marinated tofu,Tofu:Firm,"The Best Black Bean Burgers I've Ever Had: Place in a large bowl or in a food processor with the remaining ingredients (cumin, chili powder, garlic powder, smoked paprika, bread crumbs, sourdough, eggs, worcestershire, ketchup, salt, and pepper).",sourdough
"The Best Black Bean Burgers I've Ever Had: Place in a large bowl or in a food processor with the remaining ingredients (cumin, chili powder, garlic powder, smoked paprika, bread crumbs, cheese, eggs, worcestershire, ketchup, salt, and pepper).",feta cheese,Feta,"The Best Black Bean Burgers I've Ever Had: Place in a large bowl or in a food processor with the remaining ingredients (cumin, chili powder, garlic powder, smoked paprika, bread crumbs, marinated tofu, eggs, worcestershire, ketchup, salt, and pepper).",Marinated tofu,Tofu:Firm,"The Best Black Bean Burgers I've Ever Had: Place in a large bowl or in a food processor with the remaining ingredients (cumin, chili powder, garlic powder, smoked paprika, bread crumbs, salsa, eggs, worcestershire, ketchup, salt, and pepper).",salsa
"The Best Black Bean Burgers I've Ever Had: Place in a large bowl or in a food processor with the remaining ingredients (cumin, chili powder, garlic powder, smoked paprika, bread crumbs, cheese, eggs, worcestershire, ketchup, salt, and pepper).",feta cheese,Feta,"The Best Black Bean Burgers I've Ever Had: Place in a large bowl or in a food processor with the remaining ingredients (cumin, chili powder, garlic powder, smoked paprika, bread crumbs, marinated tofu, eggs, worcestershire, ketchup, salt, and pepper).",Marinated tofu,Tofu:Firm,"The Best Black Bean Burgers I've Ever Had: Place in a large bowl or in a food processor with the remaining ingredients (cumin, chili powder, garlic powder, smoked paprika, bread crumbs, rice milk, eggs, worcestershire, ketchup, salt, and pepper).",rice milk
"The Best Black Bean Burgers I've Ever Had: Place in a large bowl or in a food processor with the remaining ingredients (cumin, chili powder, garlic powder, smoked paprika, bread crumbs, cheese, eggs, worcestershire, ketchup, salt, and pepper).",feta cheese,Feta,"The Best Black Bean Burgers I've Ever Had: Place in a large bowl or in a food processor with the remaining ingredients (cumin, chili powder, garlic powder, smoked paprika, bread crumbs, marinated tofu, eggs, worcestershire, ketchup, salt, and pepper).",Marinated tofu,Tofu:Firm,"The Best Black Bean Burgers I've Ever Had: Place in a large bowl or in a food processor with the remaining ingredients (cumin, chili powder, garlic powder, smoked paprika, bread crumbs, avocado, eggs, worcestershire, ketchup, salt, and pepper).",avocado
"The Best Black Bean Burgers I've Ever Had: Place in a large bowl or in a food processor with the remaining ingredients (cumin, chili powder, garlic powder, smoked paprika, bread crumbs, cheese, eggs, worcestershire, ketchup, salt, and pepper).",feta cheese,Feta,"The Best Black Bean Burgers I've Ever Had: Place in a large bowl or in a food processor with the remaining ingredients (cumin, chili powder, garlic powder, smoked paprika, bread crumbs, marinated tofu, eggs, worcestershire, ketchup, salt, and pepper).",Marinated tofu,Tofu:Firm,"The Best Black Bean Burgers I've Ever Had: Place in a large bowl or in a food processor with the remaining ingredients (cumin, chili powder, garlic powder, smoked paprika, bread crumbs, feta, eggs, worcestershire, ketchup, salt, and pepper).",feta
"The Best Black Bean Burgers I've Ever Had: Place in a large bowl or in a food processor with the remaining ingredients (cumin, chili powder, garlic powder, smoked paprika, bread crumbs, cheese, eggs, worcestershire, ketchup, salt, and pepper).",feta cheese,Feta,"The Best Black Bean Burgers I've Ever Had: Place in a large bowl or in a food processor with the remaining ingredients (cumin, chili powder, garlic powder, smoked paprika, bread crumbs, marinated tofu, eggs, worcestershire, ketchup, salt, and pepper).",Marinated tofu,Tofu:Firm,"The Best Black Bean Burgers I've Ever Had: Place in a large bowl or in a food processor with the remaining ingredients (cumin, chili powder, garlic powder, smoked paprika, bread crumbs, tomato ketchup, eggs, worcestershire, ketchup, salt, and pepper).",tomato ketchup
"The Best Black Bean Burgers I've Ever Had: Place in a large bowl or in a food processor with the remaining ingredients (cumin, chili powder, garlic powder, smoked paprika, bread crumbs, cheese, eggs, worcestershire, ketchup, salt, and pepper).",feta cheese,Feta,"The Best Black Bean Burgers I've Ever Had: Place in a large bowl or in a food processor with the remaining ingredients (cumin, chili powder, garlic powder, smoked paprika, bread crumbs, marinated tofu, eggs, worcestershire, ketchup, salt, and pepper).",Marinated tofu,Tofu:Firm,"The Best Black Bean Burgers I've Ever Had: Place in a large bowl or in a food processor with the remaining ingredients (cumin, chili powder, garlic powder, smoked paprika, bread crumbs, mozzarella, eggs, worcestershire, ketchup, salt, and pepper).",mozzarella
"Sausage, kale & gnocchi one-pot: Squeeze the sausages straight from their skins into the pan, then use the back of a wooden spoon to break the meat up.",pork sausages,Sausage,"Sausage, kale & gnocchi one-pot: Squeeze the quorn sausages straight from their skins into the pan, then use the back of a wooden spoon to break the meat up.",Quorn sausages,Quorn:Sausage,"Sausage, kale & gnocchi one-pot: Squeeze the dover sole straight from their skins into the pan, then use the back of a wooden spoon to break the meat up.",dover sole
"Sausage, kale & gnocchi one-pot: Squeeze the sausages straight from their skins into the pan, then use the back of a wooden spoon to break the meat up.",pork sausages,Sausage,"Sausage, kale & gnocchi one-pot: Squeeze the quorn sausages straight from their skins into the pan, then use the back of a wooden spoon to break the meat up.",Quorn sausages,Quorn:Sausage,"Sausage, kale & gnocchi one-pot: Squeeze the pastrami straight from their skins into the pan, then use the back of a wooden spoon to break the meat up.",pastrami
"Sausage, kale & gnocchi one-pot: Squeeze the sausages straight from their skins into the pan, then use the back of a wooden spoon to break the meat up.",pork sausages,Sausage,"Sausage, kale & gnocchi one-pot: Squeeze the quorn sausages straight from their skins into the pan, then use the back of a wooden spoon to break the meat up.",Quorn sausages,Quorn:Sausage,"Sausage, kale & gnocchi one-pot: Squeeze the prickly pear straight from their skins into the pan, then use the back of a wooden spoon to break the meat up.",prickly pear
"Sausage, kale & gnocchi one-pot: Squeeze the sausages straight from their skins into the pan, then use the back of a wooden spoon to break the meat up.",pork sausages,Sausage,"Sausage, kale & gnocchi one-pot: Squeeze the quorn sausages straight from their skins into the pan, then use the back of a wooden spoon to break the meat up.",Quorn sausages,Quorn:Sausage,"Sausage, kale & gnocchi one-pot: Squeeze the yogurt straight from their skins into the pan, then use the back of a wooden spoon to break the meat up.",yogurt
"Sausage, kale & gnocchi one-pot: Squeeze the sausages straight from their skins into the pan, then use the back of a wooden spoon to break the meat up.",pork sausages,Sausage,"Sausage, kale & gnocchi one-pot: Squeeze the quorn sausages straight from their skins into the pan, then use the back of a wooden spoon to break the meat up.",Quorn sausages,Quorn:Sausage,"Sausage, kale & gnocchi one-pot: Squeeze the goat straight from their skins into the pan, then use the back of a wooden spoon to break the meat up.",goat
"Sausage, kale & gnocchi one-pot: Squeeze the sausages straight from their skins into the pan, then use the back of a wooden spoon to break the meat up.",pork sausages,Sausage,"Sausage, kale & gnocchi one-pot: Squeeze the quorn sausages straight from their skins into the pan, then use the back of a wooden spoon to break the meat up.",Quorn sausages,Quorn:Sausage,"Sausage, kale & gnocchi one-pot: Squeeze the brussels sprouts straight from their skins into the pan, then use the back of a wooden spoon to break the meat up.",brussels sprouts
